Time (S),Current Ch1,Voltage Ch1
0.0,4.0824107135,-0.017215141281
1.0,4.0827327244,-0.01701549451
2.0,4.0827327244,-0.016799747193
3.0,4.0827327244,-0.016577559657
4.0,4.0830547353,-0.016590440094
5.0,4.0827327244,-0.016542138456
6.0,4.0830547353,-0.016294190046999998
7.0,4.0827327244,-0.016258768845
8.0,4.0830547353,-0.016284529719
9.0,4.0827327244,-0.016303850374
10.0,4.0827327244,-0.016216907426000002
11.0,4.0824107135,-0.016191146552
12.0,4.0830547353,-0.015985059561999998
13.0,4.0827327244,-0.015985059561999998
14.0,4.0833767462,-0.016078442729
15.0,4.0830547353,-0.015975399235
16.0,4.0830547353,-0.015862695412
17.0,4.0830547353,-0.015869135631
18.0,4.0827327244,-0.015962518798
19.0,4.0827327244,-0.015798293228
20.0,4.0833767462,-0.015778972573
21.0,4.0827327244,-0.015630847549
22.0,4.0824107135,-0.015975399235
23.0,4.0830547353,-0.015849814976
24.0,4.0827327244,-0.015643727986
25.0,4.0827327244,-0.015740331262
26.0,4.0827327244,-0.015756431808
27.0,4.0827327244,-0.015730670935
28.0,4.0830547353,-0.015956078579
29.0,4.0833767462,-0.015630847549
30.0,4.0827327244,-0.015682369297
31.0,4.0827327244,-0.015717790497999998
32.0,4.0827327244,-0.015659828532
33.0,4.0830547353,-0.015663048641
34.0,4.0824107135,-0.015653388314
35.0,4.0827327244,-0.01550526329
36.0,4.0827327244,-0.015450521432999999
37.0,4.0827327244,-0.015614747003
38.0,4.0827327244,-0.015437640996999999
39.0,4.0820887026,-0.015376458922
40.0,4.0830547353,-0.015453741543
41.0,4.0824107135,-0.015527804054
42.0,4.0824107135,-0.015437640996999999
43.0,4.0827327244,-0.015415100232
44.0,4.0827327244,-0.015366798594
45.0,4.0830547353,-0.015215453460999999
46.0,4.0827327244,-0.015260534990000001
47.0,4.0827327244,-0.015254094772
48.0,4.0830547353,-0.015305616519
49.0,4.0830547353,-0.015279855645
50.0,4.0827327244,-0.015276635536
51.0,4.0830547353,-0.015328157282999999
52.0,4.0824107135,-0.015392559468
53.0,4.0827327244,-0.015357138266000001
54.0,4.0830547353,-0.015176812150000002
55.0,4.0824107135,-0.015363578485
56.0,4.0827327244,-0.015073768655999999
57.0,4.0833767462,-0.015308836628
58.0,4.0827327244,-0.015154271386
59.0,4.0830547353,-0.01530239641
60.0,4.0827327244,-0.015321717065
61.0,4.0827327244,-0.015086649092999999
62.0,4.0827327244,-0.015122070294000001
85.0,4.0827327244,-0.01472921697
86.0,4.0827327244,-0.014909543086
87.0,4.0827327244,-0.01493530396
88.0,4.0827327244,-0.01493208385
89.0,4.0827327244,-0.014851581119999999
90.0,4.0827327244,-0.014928863741
91.0,4.0830547353,-0.014951404505999999
92.0,4.0830547353,-0.014742097407
93.0,4.0827327244,-0.014787178936000001
94.0,4.0827327244,-0.014896662649000001
95.0,4.0830547353,-0.014777518608
96.0,4.0827327244,-0.014780738718
97.0,4.0827327244,-0.014777518608
98.0,4.0827327244,-0.014716336533
99.0,4.0827327244,-0.014793619154
100.0,4.0827327244,-0.014825820246000002
101.0,4.0830547353,-0.014645494131000001
102.0,4.0824107135,-0.014767858281
103.0,4.0827327244,-0.014574651728000002
104.0,4.0827327244,-0.014642274020999999
105.0,4.0830547353,-0.014655154458
106.0,4.0827327244,-0.01469057566
107.0,4.0827327244,-0.014719556643
108.0,4.0830547353,-0.014597192493
109.0,4.0827327244,-0.014539230527
110.0,4.0830547353,-0.014555331073
111.0,4.0833767462,-0.014581091946
112.0,4.0827327244,-0.014510249544
113.0,4.0827327244,-0.014677695223
114.0,4.0827327244,-0.014619733257
115.0,4.0833767462,-0.014587532164999998
116.0,4.0830547353,-0.014639053911999999
117.0,4.0827327244,-0.014510249544
118.0,4.0827327244,-0.014497369107
119.0,4.0830547353,-0.014507029435
120.0,4.0827327244,-0.014461947905999998
121.0,4.0830547353,-0.014300942445
122.0,4.0824107135,-0.014423306595000001
123.0,4.0827327244,-0.014461947905999998
124.0,4.0824107135,-0.014432966923
125.0,4.0830547353,-0.014432966923
126.0,4.0827327244,-0.014529570198999999
127.0,4.0827327244,-0.014503809325
128.0,4.0827327244,-0.014432966923
129.0,4.0827327244,-0.014413646267
130.0,4.0827327244,-0.014481268561
131.0,4.0827327244,-0.014471608233
132.0,4.0830547353,-0.014291282116999999
133.0,4.0827327244,-0.014429746814
134.0,4.0827327244,-0.014255860916
135.0,4.0827327244,-0.014397545721
136.0,4.0827327244,-0.014391105502999999
137.0,4.0827327244,-0.014378225066
138.0,4.0830547353,-0.014397545721
139.0,4.0824107135,-0.014513469652999999
140.0,4.0827327244,-0.014423306595000001
141.0,4.0827327244,-0.01448448867
142.0,4.0833767462,-0.014246200589
143.0,4.0827327244,-0.014336363646000001
144.0,4.0830547353,-0.014391105502999999
145.0,4.0827327244,-0.01420111906
146.0,4.0830547353,-0.014391105502999999
147.0,4.0827327244,-0.014362124519999998
148.0,4.0827327244,-0.014371784848
149.0,4.0827327244,-0.014346023974
150.0,4.0827327244,-0.014397545721
151.0,4.0824107135,-0.014397545721
152.0,4.0827327244,-0.014242980479
153.0,4.0830547353,-0.014284841899
154.0,4.0827327244,-0.014268741353
155.0,4.0824107135,-0.014300942445
156.0,4.0827327244,-0.014288062008
157.0,4.0830547353,-0.014455507687
158.0,4.0827327244,-0.014165697857999999
159.0,4.0827327244,-0.014197898950000001
160.0,4.0830547353,-0.014355684302
161.0,4.0830547353,-0.014387885393999999
162.0,4.0820887026,-0.014368564739
163.0,4.0830547353,-0.014246200589
164.0,4.0830547353,-0.014268741353
165.0,4.0827327244,-0.014255860916
166.0,4.0830547353,-0.014181798403999999
167.0,4.0827327244,-0.014175358186
168.0,4.0827327244,-0.014210779387000001
169.0,4.0827327244,-0.014085195128000001
170.0,4.0824107135,-0.014062654364
171.0,4.0824107135,-0.014146377203
172.0,4.0827327244,-0.014110956001999998
173.0,4.0827327244,-0.014094855456
174.0,4.0830547353,-0.014094855456
175.0,4.0827327244,-0.014081975019
176.0,4.0830547353,-0.014075534800000001
177.0,4.0830547353,-0.014265521243999999
178.0,4.0830547353,-0.014146377203
179.0,4.0827327244,-0.014001472289
