"time, s","I, Amp"
0.00,-0.1553718
1.0,-0.03162069
2.33,-0.02083112
3.22,-0.01825557
4.11,-0.01690505
5.49,-0.01572358
6.38,-0.01521476
7.27,-0.01476482
8.15,-0.01440491
9.03999999999999,-0.01407875
10.37,-0.01367135
11.25,-0.01340045
12.14,-0.01314766
13.02,-0.01289464
14.36,-0.01261425
15.24,-0.01243283
16.13,-0.01229734
17.02,-0.01211075
18.34,-0.01186467
19.23,-0.01175808
20.12,-0.01162228
21.0,-0.01149111
22.33,-0.01128949
23.22,-0.01117157
24.1,-0.0110256
25.43,-0.01088341
26.32,-0.01076441
27.2,-0.010711
28.09,-0.01057466
29.42,-0.01044334
30.31,-0.01032496
31.2,-0.01028627
32.09,-0.01018931
33.4099999999999,-0.01011656
34.2999999999999,-0.01002469
35.19,-0.009958258
36.08,-0.009867699
37.4,-0.009773289
38.28,-0.009692905
39.17,-0.009648973
40.0499999999999,-0.009570208
41.38,-0.009448436
42.27,-0.009365046
43.15,-0.00930909299999999
44.04,-0.009268939
45.36,-0.009169982
46.24,-0.009113104
47.13,-0.009084049
48.02,-0.009023009
49.34,-0.008922972
50.23,-0.008873261
51.12,-0.00884859799999999
52.0,-0.008810063
53.33,-0.008717502
54.22,-0.008701625
55.1,-0.008612994
56.43,-0.008533458
57.32,-0.008478044
58.2,-0.008443363
59.09,-0.008391802
60.42,-0.008334077
61.3,-0.008266255
62.19,-0.008233963
63.08,-0.008150496
64.4,-0.008134928
65.28,-0.008078743
66.17,-0.008047529
67.06,-0.008011307
68.39,-0.007971076
69.28,-0.007914351
70.16,-0.007845451
71.05,-0.00784599
72.38,-0.007769691
73.27,-0.007722755
74.15,-0.007712736
75.06,-0.007682756
76.39,-0.007632506
77.28,-0.007603913
78.16,-0.007560985
79.05,-0.007474126
80.38,-0.007446612
81.27,-0.007393896
82.15,-0.007345342
83.04,-0.007313743
84.37,-0.007271278
85.26,-0.007252163
86.14,-0.007270583
87.03,-0.007188195
88.3499999999999,-0.007171317
89.24,-0.007121915
90.13,-0.00703567399999999
91.02,-0.007022185
92.34,-0.006972244
93.23,-0.006882534
94.12,-0.006890318
95.0,-0.006848392
96.33,-0.006810242
97.22,-0.00678303699999999
98.11,-0.006769241
99.43,-0.006711207
100.32,-0.006664888
101.21,-0.006658337
102.09,-0.006618029
103.42,-0.006528782
104.31,-0.006524851
105.2,-0.006480766
106.08,-0.00645834
107.41,-0.006433754
108.29,-0.006381577
109.18,-0.006332946
110.07,-0.00633664599999999
111.39,-0.006302812
112.29,-0.006268053
113.17,-0.00620131
114.06,-0.006212794
115.38,-0.006172871
116.28,-0.006141195
117.16,-0.006084394
118.05,-0.006074144
119.38,-0.00604216
120.27,-0.006031601
121.16,-0.005983895
122.05,-0.005940889
123.38,-0.005932103
124.26,-0.005922469
125.15,-0.005895803
126.04,-0.005843241
127.37,-0.005812027
128.25,-0.005751296
129.14,-0.005761546
130.03,-0.00572147
131.36,-0.005694649
132.24,-0.005656037
133.13,-0.00562436
134.03,-0.005574574
135.35,-0.005548677
136.24,-0.005544054
137.13,-0.005521163
138.01,-0.005491646
139.34,-0.00547076
140.23,-0.005418737
141.11,-0.005379355
142.0,-0.005342592
143.33,-0.00532671599999999
144.21,-0.005284866
145.1,-0.005272766
146.42,-0.005218277
147.31,-0.005178047
148.2,-0.005145523
149.09,-0.005145292
150.41,-0.005111304
151.3,-0.005112922
152.19,-0.005081015
153.08,-0.005055273
154.4,-0.005005024
155.31,-0.005009186
155.76,-0.004996006
156.0,-0.004935352
157.31,-0.00491832
158.19,-0.004899361
159.07,-0.004879553
160.39,-0.004824062
161.27,-0.00479755
162.15,-0.00480417899999999
163.03,-0.00475601
164.35,-0.004698207
165.22,-0.004700519
166.11,-0.004711695
167.42,-0.004677089
168.31,-0.004655356
169.19,-0.004678092
170.07,-0.004676242
171.39,-0.004598324
172.27,-0.004626917
173.15,-0.004641252
174.03,-0.004576128
175.35,-0.004568883
176.23,-0.004490579
177.11,-0.004492121
178.0,-0.004484953
179.31,-0.004424761
180.19,-0.004437709
181.07,-0.004425301
182.39,-0.004376592
183.27,-0.004372045
184.15,-0.004393009
185.03,-0.00433497499999999
186.34,-0.004283877
187.23,-0.004290582
188.11,-0.004258521
189.0,-0.004238174
190.31,-0.004200255
191.19,-0.004201026
192.07,-0.004191469
193.39,-0.004156634
194.27,-0.00413991
195.15,-0.004158329
196.03,-0.0041228
197.35,-0.004059756
198.23,-0.004038716
199.12,-0.004045113
200.0,-0.004016443
201.31,-0.004000875
202.19,-0.003965191
203.07,-0.00398661699999999
204.39,-0.003959642
205.27,-0.003958486
206.15,-0.003941299
207.03,-0.003897677
208.35,-0.003937446
209.23,-0.00386392
210.12,-0.003877485
211.0,-0.003855289
212.32,-0.003760646
213.2,-0.003828468
214.07,-0.003795791
215.39,-0.003757178
216.27,-0.003750088
217.16,-0.003718874
218.04,-0.003709703
219.35,-0.003675484
220.23,-0.00366138
221.11,-0.003648278
222.0,-0.003608355
223.31,-0.003632016
224.2,-0.003605581
225.08,-0.003570514
226.39,-0.00350354
227.27,-0.003523886
228.16,-0.00348458
229.04,-0.003501536
230.35,-0.00348766299999999
231.23,-0.003444273
232.12,-0.003458222
233.02,-0.003448589
234.34,-0.00338192299999999
235.22,-0.003397491
236.11,-0.003381306
237.42,-0.003353484
238.31,-0.003351018
239.18,-0.003370054
240.07,-0.003362116
241.38,-0.003317415
242.26,-0.00332597
243.14,-0.003308629
244.02,-0.003283812
245.34,-0.003273716
246.22,-0.003270634
247.11,-0.00326123
248.42,-0.00327387
249.31,-0.003239805
250.19,-0.003212676
251.07,-0.003194256
252.38,-0.003164045
253.27,-0.003128824
254.15,-0.003132677
255.03,-0.003120809
256.35,-0.003105163
257.23,-0.003115722
258.12,-0.003033796
259.0,-0.003051445
260.32,-0.003037264
261.2,-0.00302054
262.08,-0.003025318
263.39,-0.002993874
264.27,-0.003002429
265.16,-0.002961042
266.04,-0.002934915
267.35,-0.002924048
268.23,-0.002936148
269.12,-0.002911563
270.01,-0.002870947
271.32,-0.002901312
272.2,-0.00292666899999999
273.08,-0.00285576399999999
274.4,-0.00289191
275.28,-0.002869637
276.16,-0.002857999
277.04,-0.002811834
278.36,-0.002805822
279.25,-0.002828019
280.13,-0.002816689
281.02,-0.002793645
282.33,-0.002755264
283.21,-0.002766671
284.09,-0.002722278
285.4,-0.002727056
286.28,-0.00269908
287.16,-0.00269854
288.04,-0.002681816
289.36,-0.002678117
290.24,-0.002627636
291.12,-0.002632106
292.01,-0.002601355
293.32,-0.002564207
294.21,-0.00258517
295.08,-0.002572453
296.4,-0.002540546
297.28,-0.002532916
298.16,-0.002540623
299.04,-0.002529448
300.36,-0.002511414
301.24,-0.00250178
302.12,-0.00250624999999999
303.01,-0.002475884
304.32,-0.002403669
305.21,-0.002393188
306.08,-0.002383554
307.4,-0.002386098
308.28,-0.002401588
309.17,-0.002394806
310.05,-0.002413226
311.36,-0.002383323
312.24,-0.00236051
313.15,-0.002345096
314.03,-0.00234078
315.35,-0.002328603
316.23,-0.002352032
317.11,-0.002323131
318.0,-0.002327832
319.31,-0.002306098
320.19,-0.002295
321.07,-0.002289837
322.39,-0.002258315
323.27,-0.002250608
324.15,-0.002261937
325.03,-0.002263401
326.35,-0.002225945
327.24,-0.002207063
328.12,-0.002235656
329.01,-0.002169376
330.32,-0.002205599
331.21,-0.00216544499999999
332.09,-0.00213785399999999
333.4,-0.002129299
334.28,-0.002126833
335.17,-0.00210849
336.05,-0.00207797
337.37,-0.002087373
338.25,-0.002074887
339.13,-0.002082363
340.02,-0.00207858699999999
341.33,-0.002092074
342.21,-0.002085908
343.09,-0.002071265
344.41,-0.002053462
345.29,-0.002034657
346.17,-0.002042595
347.05,-0.002017932
348.37,-0.002070803
349.25,-0.002003906
350.14,-0.001988723
351.02,-0.001966064
352.33,-0.001984792
353.22,-0.00196853
354.1,-0.001962133
355.42,-0.001907645
356.3,-0.001893156
357.18,-0.00191882
358.06,-0.001933926
359.37,-0.001885603
360.25,-0.00186464
361.14,-0.001859707
362.02,-0.001851923
363.34,-0.001825179
364.22,-0.00184383
365.1,-0.001826335
366.41,-0.001801827
367.29,-0.001794197
368.17,-0.001808686
369.05,-0.001825873
370.37,-0.00179728
371.25,-0.001780556
372.14,-0.00178464
373.02,-0.001800286
374.34,-0.001775932
375.22,-0.001802212
376.1,-0.001786644
377.42,-0.001727531
378.3,-0.001766914
379.18,-0.001759515
380.06,-0.001742406
381.38,-0.001727223
382.26,-0.001727608
383.14,-0.00173678
384.02,-0.001721057
385.33,-0.001701636
386.22,-0.001698784
387.1,-0.001684064
388.41,-0.00170048
389.29,-0.001662561
390.18,-0.00166865
391.05,-0.001643679
392.37,-0.001677821
393.27,-0.001602215
394.15,-0.001660789
395.04,-0.001653158
396.36,-0.001612774
397.24,-0.001658091
398.13,-0.001606377
399.02,-0.001618862
400.33,-0.001627263
401.22,-0.001631733
402.1,-0.00159944
403.41,-0.001630885
404.29,-0.001591117
405.18,-0.001608612
406.05,-0.00162102
407.37,-0.001584489
408.25,-0.001567687
409.14,-0.00154025
410.02,-0.001554586
411.34,-0.001503642
412.22,-0.001492852
413.1,-0.001485993
414.41,-0.001491773
415.29,-0.00148106
416.18,-0.001489769
417.05,-0.001478902
418.37,-0.001485454
419.26,-0.001452622
420.14,-0.00145686
421.02,-0.001453932
422.34,-0.00143273699999999
423.22,-0.001430117
424.1,-0.00143713
425.42,-0.001457246
426.3,-0.001452698
427.18,-0.001412468
428.06,-0.001419327
429.38,-0.001424799
430.26,-0.00140137
431.15,-0.00140992399999999
432.03,-0.001390272
433.34,-0.001388037
434.23,-0.001392121
435.11,-0.001377632
436.42,-0.001351582
437.3,-0.001346419
438.18,-0.001308654
439.06,-0.001343336
440.38,-0.001317826
441.26,-0.0012843
442.14,-0.001288924
443.03,-0.00129378
444.34,-0.001260716
445.22,-0.001256555
446.1,-0.00125432
447.41,-0.001264724
448.29,-0.001293163
449.18,-0.001283683
450.05,-0.001255321
451.37,-0.001272123
452.25,-0.001230119
453.14,-0.001293548
454.03,-0.00125370299999999
455.34,-0.001269734
456.22,-0.001242528
457.1,-0.001236131
458.42,-0.001231584
459.3,-0.00123667
460.18,-0.001194513
461.06,-0.001180795
462.37,-0.001149889
463.25,-0.001139254
464.14,-0.001136325
465.02,-0.001162298
466.34,-0.001179638
467.22,-0.001136864
468.1,-0.001135015
469.42,-0.001170852
470.29,-0.00114118
471.18,-0.001154205
472.05,-0.001166768
473.4,-0.001110892
474.28,-0.00110172
475.15,-0.001111816
476.04,-0.001122144
477.35,-0.001105111
478.23,-0.00108068
479.11,-0.001111816
480.43,-0.001061875
481.31,-0.001070661
482.19,-0.001072742
483.07,-0.001053243
484.38,-0.00105031399999999
485.26,-0.001039216
486.15,-0.001048619
487.03,-0.001035594
488.34,-0.001052395
489.23,-0.001024727
490.11,-0.001064187
491.43,-0.001010931
492.31,-0.0009838027
493.19,-0.001021259
494.07,-0.001033051
495.39,-0.0009870396
496.27,-0.001006076
497.15,-0.0009656912
498.04,-0.0009730129
499.35,-0.0009801033
500.24,-0.001010623
501.12,-0.0009703154
502.0,-0.0009971359
503.31,-0.0009810282
504.19,-0.000983032
505.07,-0.0009848047
506.39,-0.0009373293
507.27,-0.0009623772
508.15,-0.0009641498
509.04,-0.0009511249
510.35,-0.0009486587
511.24,-0.0009341694
512.12,-0.0009278497
513.0,-0.0009360962
514.319999999999,-0.0009152872
515.2,-0.0009209903
516.079999999999,-0.0009074261
517.4,-0.0008973298
518.28,-0.0008888521
519.16,-0.0008805285
520.04,-0.0008989483
521.36,-0.0008788329
522.24,-0.0008937076
523.12,-0.0008769832
524.0,-0.000872282
525.319999999999,-0.0008539393
526.2,-0.0008334385
527.089999999999,-0.0008459239
528.4,-0.0008097008
529.28,-0.0008255002
530.16,-0.0008502398
531.04,-0.0008770603
532.36,-0.000868968
533.24,-0.0008345945
534.13,-0.0008388334
535.01,-0.0007912811
536.329999999999,-0.0008077741
537.21,-0.0008250379
538.1,-0.0008396042
539.41,-0.0007833428
540.29,-0.0007922059
541.18,-0.0008059244
542.049999999999,-0.0007556746
543.38,-0.000797832
544.25,-0.0008017626
545.14,-0.0007725529
546.02,-0.0008053849
547.339999999999,-0.000745193
548.22,-0.0007998359
549.1,-0.000754056
550.42,-0.0007623797
551.29,-0.0007820326
552.17,-0.0007515898
553.079999999999,-0.0007699325
554.4,-0.000766002
555.28,-0.0007413395
556.16,-0.0007061184
557.049999999999,-0.0007417248
558.37,-0.0007106655
559.25,-0.0006966387
560.13,-0.000687236099999999
561.01,-0.0006913979
562.329999999999,-0.0007223802
563.21,-0.0007253859
564.1,-0.0007307808
565.42,-0.000719991
566.299999999999,-0.000688238
567.18,-0.0006705889
568.059999999999,-0.0007041145
569.38,-0.0006557144
570.26,-0.0006965615
571.14,-0.0006684309
572.02,-0.0007004922
573.339999999999,-0.000679452
574.22,-0.000646774099999999
575.1,-0.0006739029
576.42,-0.000658951299999999
577.299999999999,-0.0006177958
578.18,-0.0006364468
579.059999999999,-0.000656408
580.38,-0.0006637297
581.26,-0.0006517838
582.14,-0.0006519379
583.03,-0.0006353678
584.339999999999,-0.0006362926
585.23,-0.000644076699999999
586.11,-0.000644076699999999
587.42,-0.0006481614
588.299999999999,-0.000654404099999999
589.19,-0.0006258111
590.059999999999,-0.0006390671
591.38,-0.000642227
592.26,-0.0005929791
593.14,-0.0005691644
594.03,-0.0006127862
595.339999999999,-0.0006195683
596.23,-0.0005614573
597.11,-0.000591746
598.42,-0.0005871988
599.299999999999,-0.0005701663
600.19,-0.0005705516
601.059999999999,-0.0005320935
602.38,-0.000485466
603.26,-0.0004930189
604.15,-0.0005489719
605.04,-0.0005650026
606.35,-0.0005398776
607.23,-0.0005515153
608.11,-0.0005730179
609.0,-0.0005678541
610.309999999999,-0.000563229999999999
611.19,-0.000534714
612.069999999999,-0.0005337891
613.39,-0.0005121323
614.26,-0.000516833599999999
615.14,-0.0005192228
616.03,-0.0005538274
617.339999999999,-0.0004995699
618.23,-0.0004956392
619.11,-0.0004793775
620.42,-0.0005172961
621.299999999999,-0.0004866991
622.19,-0.0004848494
623.069999999999,-0.0004641175
624.39,-0.0004560251
625.27,-0.0004633468
626.15,-0.0004692042
627.04,-0.0004379136
628.35,-0.0004668149
629.24,-0.0004900131
630.12,-0.0004762946
631.0,-0.00046905
632.309999999999,-0.0004676628
633.22,-0.0004376053
634.11,-0.0004500136
635.43,-0.0004501678
636.299999999999,-0.0004360639
637.19,-0.0004413047
638.069999999999,-0.0004436168
639.38,-0.0004014593
640.26,-0.0004419983
641.15,-0.0004242721
642.04,-0.0004301295
643.35,-0.000401151
644.24,-0.0004204187
645.12,-0.0003804962
646.0,-0.0004086269
647.309999999999,-0.000387972
648.2,-0.0003875867
649.069999999999,-0.0003778758
650.39,-0.0004454665
651.27,-0.0004147925
652.16,-0.0003804191
653.04,-0.0003777987
654.35,-0.0004036944
655.24,-0.0004018446
656.12,-0.00041749
657.0,-0.0003808044
658.309999999999,-0.0003844268
659.2,-0.0003657758
660.069999999999,-0.0003434253
661.39,-0.000369321
662.27,-0.0003994555
663.15,-0.0003414215
664.04,-0.0003828854
665.35,-0.0003308629
666.23,-0.000368165
667.12,-0.0003582229
668.0,-0.0003233871
669.309999999999,-0.0003592248
670.19,-0.0003634637
671.07,-0.000344658499999999
672.39,-0.0003212291
673.26,-0.0003387241
674.15,-0.000355910799999999
675.03,-0.0003361037
676.35,-0.0003456604
677.23,-0.0003720185
678.11,-0.0003459687
679.429999999999,-0.0003139074
680.299999999999,-0.0002725207
681.179999999999,-0.0002956417
682.059999999999,-0.0003065858
683.38,-0.0002837729
684.26,-0.000329860999999999
685.15,-0.0003182234
686.03,-0.0003108246
687.35,-0.0002875494
688.23,-0.0002610372
689.11,-0.0002722124
690.429999999999,-0.0002820774
691.299999999999,-0.000287087
692.19,-0.0002734455
693.07,-0.0002980309
694.39,-0.0002833876
695.27,-0.0002708251
696.15,-0.000268821299999999
697.04,-0.0002826939
698.35,-0.0002284364
699.24,-0.0002690525
700.12,-0.0002316734
701.0,-0.0002600353
702.309999999999,-0.0002581856
703.2,-0.0002443129
704.08,-0.0002305944
705.4,-0.0002737538
706.29,-0.0002534072
707.17,-0.0002517887
708.049999999999,-0.000245469
709.36,-0.000252405299999999
710.25,-0.0002421549
711.13,-0.0002242746
712.01,-0.0002358352
713.35,-0.0002588021
714.23,-0.0002426174
715.11,-0.0002565671
716.0,-0.0002239663
717.309999999999,-0.000242232
718.19,-0.0002200358
719.07,-0.0001924446
720.39,-0.0001766452
721.27,-0.0002133307
722.15,-0.000172637499999999
723.04,-0.0001776471
724.36,-0.0002003058
725.24,-0.0001824255
726.12,-0.000188514
727.0,-0.0001986102
728.309999999999,-0.0002107873
729.19,-0.0002119434
730.07,-0.0001996892
731.39,-0.0002003828
732.27,-0.0002042363
733.15,-0.0001801904
734.04,-0.0001754891
735.35,-0.000141347
736.24,-0.0001973771
737.12,-0.0001794197
738.0,-0.0002339084
739.31,-0.0002122517
740.2,-0.0002352957
741.08,-0.0002217313
742.39,-0.0001956816
743.27,-0.0001901325
744.16,-0.0002052383
745.04,-0.000172098
746.36,-0.0001866643
747.24,-0.0002076275
748.12,-0.0001635432
749.0,-0.0001644681
750.31,-0.000188514
751.2,-0.0001603833
752.08,-0.0001263953
753.39,-0.0001550655
754.27,-0.0001828879
755.16,-0.0001646222
756.04,-0.0001882057
757.36,-0.000170171299999999
758.24,-0.0001344877
759.12,-0.0001636203
760.0,-0.0001542177
761.31,-0.0001956816
762.2,-0.0001499789
763.07,-0.0001445069
764.39,-0.0001472814
765.27,-0.000196144
766.16,-0.000180807
767.04,-0.0001593814
768.36,-0.0001462024
769.24,-0.0001237749
770.13,-0.000117301
771.01,-0.0001011933
772.32,-0.0001448922
773.21,-0.000109594
774.09,-0.0001201526
775.4,-0.0001035825
776.29,-0.0001169927
777.17,-0.0001141411
778.05,-0.0001061258
779.36,-0.0001197673
780.25,-0.0001289387
781.13,-8.385252e-05
782.01,-8.531685e-05
783.33,-0.0001177635
784.21,-0.0001170698
785.09,-0.0001031972
786.41,-8.970986e-05
787.29,-6.25811e-05
788.17,-9.50277e-05
789.06,-8.608755e-05
790.37,-8.184868e-05
791.26,-3.52211399999999e-05
792.14,-8.36213e-05
793.05,-8.685826e-05
794.37,-0.0001034284
795.25,-9.68774e-05
796.14,-9.942072e-05
797.02,-9.417993e-05
798.34,-7.591427e-05
799.23,-5.672376e-05
800.11,-7.976778e-05
801.0,-8.439201e-05
802.31,-7.730154e-05
803.19,-9.186782e-05
804.07,-4.053899e-05
805.38,-5.78798e-05
806.27,-5.89588e-05
807.15,-6.080848e-05
808.03,-5.27161e-05
809.36,-4.053899e-05
810.24,-2.057777e-05
811.12,-5.919e-05
812.01,-4.577978e-05
813.32,-7.044227e-05
814.2,-8.416079e-05
815.08,-8.809137e-05
816.4,-4.90938e-05
817.27,-7.267731e-05
818.16,-2.497078e-05
819.04,-4.670462e-05
820.36,-4.07702e-05
821.24,-2.011535e-05
822.12,-1.502871e-05
823.0,-3.028863e-05
824.31,-3.707083e-05
825.2,-4.470078e-05
826.07,-2.589563e-05
827.39,3.552942e-05
828.28,6.242701e-06
829.16,3.545243e-06
830.05,-3.24466e-05
831.36,-2.235031e-06
832.24,-1.14064e-05
833.12,9.171373e-06
834.01,-1.834273e-05
835.32,-5.471991e-06
836.2,2.312134e-07
837.08,-6.78218e-06
838.39,-1.179176e-05
839.28,-2.774531e-05
840.16,-2.558735e-05
841.04,-7.938236e-06
842.36,-4.624218e-06
843.24,-1.502871e-05
844.12,-3.013449e-05
845.01,-7.861167e-06
846.32,-5.086639e-06
847.21,1.186884e-05
848.09,1.695548e-05
849.4,2.705169e-05
850.28,3.190712e-05
851.16,5.117471e-05
852.05,3.306317e-05
853.36,2.612684e-05
854.25,-5.85733799999999e-06
855.13,3.545243e-06
856.01,-9.787927e-06
857.33,4.100142e-05
858.21,2.944087e-05
859.09,2.211919e-05
860.41,1.957586e-05
861.29,3.206126e-05
862.18,6.0269e-05
863.06,5.895881e-05
864.37,7.267732e-05
865.26,4.200333e-05
866.14,6.204162e-05
867.02,4.801482e-05
868.34,3.421923e-05
869.22,9.387166e-05
870.1,5.772568e-05
871.41,4.616513e-05
872.29,7.383338e-05
873.21,2.635806e-05
874.09,5.772568e-05
875.4,2.836188e-05
876.28,6.050021e-05
877.17,3.367974e-05
878.05,4.577978e-05
879.37,4.716705e-05
880.26,5.957537e-05
881.13,5.74174e-05
882.01,5.572185e-05
883.32,3.668548e-05
884.21,5.094349e-05
885.09,6.56639199999999e-05
886.4,8.046142e-05
887.28,7.414166e-05
888.17,6.874674e-05
889.05,5.895881e-05
890.37,0.0001193819
891.25,0.0001127539
892.13,6.142506e-05
893.01,9.456529e-05
894.32,8.416081e-05
895.21,0.000112908
896.09,9.271561e-05
897.4,9.525893e-05
898.28,9.017229e-05
899.17,9.880416e-05
900.05,6.61263499999999e-05
901.37,7.545186e-05
902.25,8.670413e-05
903.13,9.826467e-05
904.02,7.945952e-05
905.33,9.286975e-05
906.22,6.512443e-05
907.1,9.518186e-05
908.41,9.726276e-05
909.29,9.109714e-05
910.18,0.0001357979
911.06,0.0001243915
912.38,0.0001058946
913.26,0.0001273202
914.14,0.0001169928
915.02,0.0001216941
916.33,0.0001247769
917.21,0.0001098252
918.09,0.0001050469
919.41,0.0001234667
920.29,0.0001550655
921.18,0.0001152202
922.06,0.0001613853
923.38,0.0001184571
924.26,0.0001341795
925.14,0.0001250081
926.02,0.0001287074
927.34,0.0001149119
928.22,0.0001246998
929.1,0.0001190737
930.42,0.0001344877
931.31,0.0001207692
932.19,0.0001422718
933.07,0.000132561
934.38,0.0001492082
935.26,0.0001199214
936.14,0.0001466648
937.02,0.0001103647
938.33,0.0001199214
939.22,9.233026e-05
940.1,0.0001400368
941.42,0.0001628496
942.3,0.0001328692
943.18,0.0001354897
944.06,0.0001427343
945.38,0.0001855854
946.26,0.0001384183
947.14,0.0001525222
948.02,0.0001300177
949.33,0.0001475126
950.22,0.0001770306
951.1,0.0001166845
952.42,0.0001646993
953.33,0.0001201527
954.21,0.0001136787
955.09,0.0001427343
956.4,0.0001371852
957.28,0.000127089
958.17,0.0001463566
959.05,0.0001576088
960.36,0.0001705566
961.24,0.0001679362
962.13,0.0001542177
963.01,0.000121617
964.32,0.0001694006
965.21,0.0001682445
966.09,0.0001548343
967.41,0.0001805758
968.29,0.0001478209
969.17,0.0001669343
970.06,0.0001872809
971.37,0.0002053154
972.25,0.0001565298
973.13,0.0001702484
974.02,0.0001537553
975.33,0.000161077
976.22,0.0001596897
977.1,0.0001372623
978.41,0.0001131392
979.29,0.0001452776
980.17,0.000142503
981.05,0.0001241603
982.37,0.0001185342
983.25,0.0001318673
984.13,0.0001491311
985.02,0.0001224648
986.33,0.0001383412
987.22,0.0001514432
988.1,0.0001428113
989.41,0.0001512891
990.29,0.0001334858
991.17,0.0001562215
992.05,0.0001429655
993.37,0.0001304801
994.25,0.0001485145
995.13,0.0001615394
996.02,0.0002046217
997.33,0.0001497476
998.21,0.0001419635
999.09,0.000163235
1000.41,0.0001679362
1001.29,0.000212637
1002.17,0.0001641598
1003.05,0.0001800363
1004.37,0.0001880516
1005.25,0.000213716
1006.14,0.0001761057
1007.02,0.0002122517
1008.33,0.0001624642
1009.22,0.0001339482
1010.1,0.0001556821
1011.41,0.0001803446
1012.3,0.0001903637
1013.18,0.0002000746
1014.06,0.0002043134
1015.38,0.0001690152
1016.26,0.0001929841
1017.14,0.0001675509
1018.02,0.0001739477
1019.33,0.0001835815
1020.22,0.0001671655
1021.1,0.0001754121
1022.42,0.0001781866
1023.3,0.0001859707
1024.19,0.0001872038
1025.07,0.0002088606
1026.38,0.0001915968
1027.27,0.0001525222
1028.15,0.0001613853
1029.03,0.0001572235
1030.34,0.0001562986
1031.23,0.0001549884
1032.11,0.0001778013
1033.02,0.0001743331
